class	typeFreq	Active	Passive	Reflexive	Reciprocal	Causative
2	21	?	NULL	NULL	NULL	?dir
3	18	?	NULL	NULL	NULL	?dır
4	1	?	NULL	NULL	NULL	ELICIT
5	2	?	NULL	NULL	NULL	NULL
6	1	?	NULL	NULL	NULL	dVr
7	3	?	NULL	NULL	NULL	ndVr
8	1	?	NULL	NULL	NULL	ndır
9	1	?	NULL	NULL	NULL	t
10	1	?	NULL	n	NULL	?dir
11	2	?	NULL	n	NULL	?dır
12	1	?	NULL	n	NULL	ndır
13	1	?	NULL	n	NULL	t
14	1	?	n	NULL	NULL	ndır
15	1	?	n	NULL	NULL	t
16	1	?dir	n	NULL	?	NULL
17	1	?dır	ıl	NULL	NULL	NULL
18	1	ELICIT	ELICIT	ELICIT	ELICIT	ELICIT
19	2	NULL	NULL	NULL	NULL	?dır
20	1	NULL	NULL	NULL	NULL	ndVr
21	2	NULL	NULL	NULL	NULL	ndır
22	1	Vr	NULL	rVl	NULL	NULL
25	1	l	NULL	NULL	NULL	t
26	1	n	NULL	NULL	?	?dir
27	2	n	NULL	NULL	?	ndVr
28	1	n	NULL	NULL	?	ndır
29	2	n	NULL	NULL	?	t
30	2	n	NULL	NULL	NULL	?dir
31	1	n	NULL	NULL	NULL	?dır
32	2	n	NULL	NULL	NULL	NULL
33	13	n	NULL	NULL	NULL	ndVr
34	10	n	NULL	NULL	NULL	ndır
35	6	n	NULL	NULL	NULL	t
36	2	n	NULL	NULL	ni?	t
37	1	n	nVl	NULL	?	?dir
38	1	n	nVl	NULL	?	giz
39	2	n	nVl	NULL	?	t
40	1	n	nVl	NULL	ni?	?dir
41	1	n	nVl	NULL	ni?	t
42	1	n	nıl	NULL	NULL	t
43	1	ndVr	n	NULL	?	NULL
44	1	x	NULL	NULL	xı?	dır
45	1	Ø	?ıl	NULL	?	t
46	1	Ø	ELICIT	NULL	NULL	dır
47	2	Ø	NULL	NULL	?	t
48	1	Ø	NULL	NULL	NULL	?dir
49	1	Ø	NULL	NULL	NULL	Ar
50	13	Ø	NULL	NULL	NULL	NULL
51	5	Ø	NULL	NULL	NULL	Vr
52	2	Ø	NULL	NULL	NULL	Vt
54	1	Ø	NULL	NULL	NULL	d?r
55	5	Ø	NULL	NULL	NULL	dVr
56	10	Ø	NULL	NULL	NULL	dır
57	5	Ø	NULL	NULL	NULL	dür
58	1	Ø	NULL	NULL	NULL	küz
59	1	Ø	NULL	NULL	NULL	ndVr
60	6	Ø	NULL	NULL	NULL	qız
61	23	Ø	NULL	NULL	NULL	t
62	1	Ø	NULL	NULL	NULL	Ø
63	1	Ø	NULL	NULL	NULL	ı?dır
64	2	Ø	NULL	NULL	NULL	ır
65	2	Ø	NULL	NULL	NULL	ür
66	1	Ø	NULL	NULL	i?	Vr
68	3	Ø	NULL	NULL	i?	dVr
69	1	Ø	NULL	NULL	u?	dVr
70	2	Ø	NULL	NULL	ı?	dır
71	1	Ø	NULL	NULL	ı?	ır
72	1	Ø	NULL	NULL	ı?	ıt
73	1	Ø	NULL	NULL	ı?	ız
74	1	Ø	NULL	NULL	ü?	dür
75	1	Ø	NULL	NULL	ü?	ür
76	1	Ø	NULL	Vn	NULL	Ø
77	1	Ø	NULL	Vn	i?	dVr
78	1	Ø	NULL	Vx	NULL	?uz
79	2	Ø	NULL	Vx	NULL	dVr
80	1	Ø	NULL	Vx	u?	VxdVr
81	1	Ø	NULL	Vx	u?	dVr
82	1	Ø	NULL	n	?	?dir
83	1	Ø	NULL	n	?	ndVr
84	1	Ø	NULL	n	?	ndır
85	2	Ø	NULL	n	?	t
86	1	Ø	NULL	n	NULL	?dir
87	1	Ø	NULL	n	NULL	NULL
88	2	Ø	NULL	n	NULL	ndVr
89	2	Ø	NULL	n	NULL	ndır
90	6	Ø	NULL	n	NULL	t
91	2	Ø	NULL	ın	ı?	dır
92	1	Ø	NULL	ıx	NULL	dır
93	1	Ø	NULL	ıx	NULL	ır
94	1	Ø	NULL	ıx	NULL	ızdır
95	1	Ø	Vl	NULL	NULL	ELICIT
